antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Incident_Trespassing, Temp_Hot","Time_Afternoon, Priority_Priority2, Weekday",0.02698,0.11034,0.0113,0.4188287620459599,3.7958017223668654,1.0,0.0083230268,1.5308052806122447,0.756974208390154,0.08966830661799714,0.34674905249866234,0.260619746257709
"Incident_Trespassing, Time_Afternoon","Temp_Hot, Priority_Priority2, Weekday",0.03696,0.08118,0.0113,0.3057359307359307,3.7661484446406837,1.0,0.0082995872,1.3234445518316444,0.7626648356899317,0.10576563084986897,0.24439599784063332,0.22246638862492518
Incident_Traffic,"Priority_Priority0, Weekday",0.06348,0.08844,0.02092,0.32955261499684946,3.7262846562285104,1.0,0.0153058288,1.359629436090226,0.7812285652289559,0.1596946564885496,0.264505479613903,0.2830485824871176
"Weather_Clear, Incident_Traffic",Priority_Priority0,0.02624,0.12892,0.01252,0.4771341463414634,3.7010095124221483,1.0,0.0091371392,1.6659722448979588,0.7494695309719369,0.08777341559169938,0.39974990395998466,0.2871243179737103
"Incident_Trespassing, Temp_Hot, Weekday","Time_Afternoon, Priority_Priority2",0.02054,0.15208,0.0113,0.5501460564751703,3.617478014697333,1.0,0.0081762768,1.8848784415584414,0.7387379970433411,0.070047111331515,0.46946180827810446,0.3122245274485268
"Incident_Trespassing, Time_Afternoon, Weekday","Temp_Hot, Priority_Priority2",0.02816,0.1121,0.0113,0.40127840909090906,3.579646825075014,1.0,0.008143263999999999,1.4829931198102015,0.7415241519781106,0.08762406947890819,0.3256880381697365,0.25104063184251074
"Incident_Trespassing, Temp_Hot","Time_Afternoon, Priority_Priority2",0.02698,0.15208,0.01468,0.5441067457375834,3.5777666079536,1.0,0.0105768816,1.859909073170732,0.7404740106044739,0.08930526828081276,0.46233930764409786,0.3203174444100858
Incident_Traffic,Priority_Priority0,0.06348,0.12892,0.02922,0.4603024574669187,3.570450337161951,1.0,0.021036158399999998,1.6140151313485116,0.7687217415762018,0.17906606201740408,0.3804271220403623,0.3434773224349797
"Weather_Partly Cloudy, Incident_Traffic",Priority_Priority0,0.02846,0.12892,0.0131,0.4602951510892481,3.570393663428856,1.0,0.009430936800000001,1.6139932812500002,0.7410079252471916,0.09079567507624063,0.3804187343174543,0.28095427737521667
"Time_Afternoon, Incident_Traffic",Priority_Priority0,0.02514,0.12892,0.01154,0.45902943516308675,3.56057582348035,1.0,0.0082989512,1.6102170000000002,0.7376921313075893,0.08097109177659276,0.37896569220173437,0.2742711556826914
"Incident_Traffic, Temp_Warm",Priority_Priority0,0.02288,0.12892,0.01048,0.458041958041958,3.552916211929553,1.0,0.007530310399999999,1.6072830967741933,0.73536624846722,0.07415793942824793,0.3778320682852987,0.2696663404854531
"Incident_Trespassing, Time_Afternoon","Temp_Hot, Priority_Priority2",0.03696,0.1121,0.01468,0.3971861471861472,3.5431413665133555,1.0,0.010536784,1.4729256732495513,0.7453112826639348,0.10924244679267749,0.3210791161010781,0.2640703260462404
"Time_Afternoon, Weekday, Priority_Priority1",Incident_Welfare,0.0331,0.10206,0.01176,0.3552870090634441,3.4811582310743105,1.0,0.008381814,1.3927747891283973,0.7371385724628046,0.09529983792544569,0.28200883028202794,0.2352566732560019
"Weekday, Incident_Traffic",Priority_Priority0,0.04698,0.12892,0.02092,0.4452958705832269,3.454048018796361,1.0,0.0148633384,1.5703506676899461,0.7455086222230924,0.13498515937540329,0.3631995575414737,0.30378352325313995
"Time_Afternoon, Priority_Priority1",Incident_Welfare,0.0456,0.10206,0.01568,0.343859649122807,3.3691911534666565,1.0,0.011026063999999999,1.3685181818181817,0.7367905041312417,0.11880587967873919,0.2692826348339611,0.24874738286044326
"Time_Night, Priority_Priority2, Weekday",Incident_Alarms,0.05406,0.09946,0.01666,0.30817610062893086,3.098492867775295,1.0,0.011283192400000001,1.3016896363636365,0.7159676607180073,0.12173023527692535,0.23176771784588232,0.23784031253043164
"Temp_Hot, Priority_Priority1",Incident_Welfare,0.03674,0.10206,0.01154,0.3140990745781165,3.077592343504963,1.0,0.0077903156,1.3091395079365078,0.7008187570436629,0.09068049662109066,0.23613946875973507,0.2135849086392444
Incident_Other,"Priority_Priority3, Weekday",0.04736,0.13486,0.01964,0.414695945945946,3.075010721829645,1.0,0.0132530304,1.4781035497835502,0.7083451060985546,0.12080206667486776,0.3234574126106133,0.280164226865899
"Time_Morning, Priority_Priority1",Incident_Welfare,0.03346,0.10206,0.01046,0.3126120741183503,3.0630224781339437,1.0,0.007045072400000001,1.3063074956521739,0.6968413992613499,0.0836398528706221,0.23448345559653241,0.207550403118356
"Incident_Other, Weekday",Priority_Priority3,0.03404,0.18924,0.01964,0.5769682726204466,3.0488706014608256,1.0,0.013198270400000002,1.9165465555555559,0.6956910167098207,0.09644470634452958,0.47822817186398764,0.34037591394708655
